c_first,c_first_ack,c_last,c_port,c_rtt_avg,c_rtt_max,c_rtt_min,c_rtt_std,durat,s_ack_cnt,s_ack_cnt_p,s_first,s_first_ack,s_last,s_pkts_all,s_rtt_avg,s_rtt_max,s_rtt_min,s_rtt_std,Label
20.402,0.104,20.402,36202.0,0.370988,0.921,0.096,0.476314,26.446,4.0,1.0,24.345,20.478000011622907,24.345,4.0,0.006666,0.008,-0.025999999329447746,0.002309,Normal
115.205,0.102,115.205,35572.0,0.3016569886006117,0.694,0.088,0.34844,129.2999001096189,4.0,1.0,117.843,115.293,117.843,4.0,0.009666,0.015,-0.02499997418373823,0.005033,Normal
21.031,0.101,21.031,36186.0,0.170661,0.33,0.089,0.138001,33.243,4.0,1.0,23.132,21.12,23.132,4.0,0.007,0.01799997928738594,0.006,-0.01899995857477188,Normal
40.9,0.114,40.9,36126.0,0.137662,0.24585673304647207,0.093,0.068061,53.844,4.0,1.0,43.112,40.993,43.112,4.0,0.009,0.013,-0.015999975338578224,-0.005416987669289112,Normal
45.454,0.09800000000109714,45.454,35432.0,14.347522,42.858,0.089,24.690385,151.486,5.0,2.0,50.101,45.511046105086805,50.101,5.0,-0.013000001415610314,0.009,0.004,-0.02735400212341547,Normal
91.63799999955296,0.057,91.618,35576.0,0.095663,0.146,0.052,0.047353,137.101,4.0,1.0,98.826,91.707,98.86593410617112,4.0,0.005,0.007,-0.02700000212341547,0.002,Normal
15.284,0.169,15.284,36066.0,0.141995,0.16,0.109,0.028618,59.565,4.0,1.0,19.747,15.393,19.747,4.0,-0.020333963007867335,0.012,-0.011999975338578224,0.002082,Normal
35.071,0.098,35.071,35548.0,0.220326,0.442,0.088,0.193169,140.817,4.0,1.0,45.68,35.18200112362206,45.68,4.0,0.008,0.01,0.005,-0.027353633319675923,Normal
36.251,0.139,36.27099958977103,35754.0,0.242659,0.505,0.096,0.227715,111.61,4.0,1.0,39.176,36.347,39.176,4.0,0.013666,0.019,0.01,-0.025273963007867335,Normal
51.224,0.1260017662346363,51.224,35984.0,0.170661,0.29,0.085,0.106566,71.214,4.0,1.0,59.533,51.309,59.533,4.0,0.011,0.017,0.007,-0.024707655671417715,Normal
5.804,0.135,5.804,36278.0,0.179994,0.35,0.064,0.150453,21.614,4.0,1.0,7.617629580907524,5.868,7.615,4.0,0.0013330207126140588,0.02,0.005,-0.022232937862157822,Normal
99.933,0.129,99.933,35588.0,0.70931,1.9300000000071313,0.083,1.057249,138.34593403228374,4.0,1.0,102.05993764191867,100.016,102.04,4.0,0.014333,0.021,0.008,-0.02349396300786734,Normal
0.679,0.094,0.679,36128.0,0.20266,0.424,0.087,0.191745,60.747,4.0,1.0,3.41,0.776,3.41,4.0,-0.001999999776482582,0.013,0.004,-0.015416999552965164,Normal
40.784,0.096,40.784,36034.0,0.111663,0.156,0.089,0.038397,73.362,4.0,1.0,42.558,40.873,42.57471488583088,4.0,0.010333,0.019,0.006,-0.022493999329447747,Normal
30.867,0.28,30.867,35910.0,0.19066,0.271,0.114,0.078564,91.774,4.0,1.0,38.828,30.981,38.828,4.0,-0.04028040219956636,0.025999987669289112,0.004,0.006028,Normal
50.53,0.111,50.549999999552966,35374.0,0.459985,1.2,0.086,0.640871,175.453,4.0,1.0,62.728,50.616,62.728,4.039996717125177,0.010333,0.017,0.006,-0.02414100212341547,Normal
66.442,0.196,66.442,35358.0,0.15632899769032002,0.16299999999890288,0.102,0.031214,183.547,4.0,1.0,70.77,66.544,70.77,4.0299998736009,0.015666,0.033,-0.035999999105930325,0.015308,Normal
34.867,0.101,34.867,35586.0,0.120329,0.175,0.091,0.047385,152.331,4.0,1.0,40.454,34.958,40.454,4.0,0.009333,0.04499999653548002,-0.013999997690320015,0.004933,Normal
80.938,0.118,80.938,35924.019999930635,0.123663,0.164,0.097,0.035529,96.909,4.0,1.0,86.533,81.035,86.533,4.0,0.007666,0.008,0.007,-0.02942300212341547,Normal
1.257,0.097,1.257,36240.0,0.11033,0.151,0.089,0.035233,43.951,4.0,1.0,2.969,1.346,2.9826943608522414,4.0,0.008666,0.011,0.006,-0.027482996535480024,Normal
67.545,0.129,67.545,35940.0,0.125329,0.178,0.07200001512467862,0.048676,98.68494609273971,4.0,1.0,69.174,67.627,69.174,4.0,0.011333,0.017,-0.025999963007867336,0.006658,Normal
21.304,0.061174541920423514,21.304,35676.0,0.108996,0.129,0.09,0.019519,137.546,4.0,1.0,27.586,21.412,27.586,4.0,-0.010999999552965165,0.011,-0.022999999329447747,0.002,Normal
19.886,0.069,19.886,36058.0,0.106996,0.168,0.064,0.03428600044703484,82.453,4.0,1.0,37.104,19.975,37.104,4.0,0.008,0.015,-0.025999999329447746,0.006083,Normal
5.879,0.079,5.898999992102384,35996.0,0.113996,0.162,0.073,0.044911,91.4,4.0,1.0,15.646,5.986,15.646,4.0,0.009,0.015,0.006,-0.024803999329447747,Normal
0.732,0.119,0.732,35856.0,0.229992,0.488,0.091,0.223658,116.25899646425248,4.0,1.0,3.376,0.823,3.376,4.0,0.007666,0.01,-0.02499999653548002,0.002517,Normal
15.701,0.106,15.701,36038.0,0.49364980863523483,1.172999974630773,0.099,0.5943010041723251,91.859,4.0,1.0,67.342,15.8,67.342,4.0,0.009,0.042999999329447744,0.007,0.003464,Normal
69.971,0.133,69.971,35442.0,0.419986,1.029,0.111,0.527429,179.368,4.0,1.0,72.925,70.082,72.925,4.0,0.014666,0.02,0.011,0.004726,Normal
105.374,0.269,105.374,35818.0,0.249325,0.401,0.094,0.153533,128.416,4.0,1.0,107.748,105.468,107.748,4.0,0.015333,0.019,-0.00899977044761181,-0.005958885223805904,Normal
